iter	RMSE
0	15697.39418
1	15333.02127
2	14952.77842
3	14611.83147
4	14290.46557
5	13957.98993
6	13644.80883
7	13358.45305
8	13056.52341
9	12774.30208
10	12477.9146
11	12214.59695
12	11932.45674
13	11679.83629
14	11457.78656
15	11196.54591
16	10963.4733
17	10729.73809
18	10514.24634
19	10294.99684
20	10070.19372
21	9873.716217
22	9669.759006
23	9466.751521
24	9254.762332
25	9063.775972
26	8858.04832
27	8674.482238
28	8504.221753
29	8355.713793
30	8192.413231
31	8015.410227
32	7844.023927
33	7697.899361
34	7547.534284
35	7394.546105
36	7254.147932
37	7120.721337
38	6989.298627
39	6852.974837
40	6697.816897
41	6571.199731
42	6438.995511
43	6309.01759
44	6193.984498
45	6072.211159
46	5962.796586
47	5848.535894
48	5741.406145
49	5648.205639
50	5547.32603
51	5450.379505
52	5335.634652
53	5235.301686
54	5141.37427
55	5041.175406
56	4946.320097
57	4857.408974
58	4774.777063
59	4689.104853
60	4603.688471
61	4525.851755
62	4445.148247
63	4371.220799
64	4298.423035
65	4218.026723
66	4142.553065
67	4071.551255
68	3997.427845
69	3933.781823
70	3868.483105
71	3801.173501
72	3741.440739
73	3681.764541
74	3627.174438
75	3569.263014
76	3504.124785
77	3449.809275
78	3397.407479
79	3348.773684
80	3288.133485
81	3244.06591
82	3188.43853
83	3136.591764
84	3090.536074
85	3046.707374
86	3003.833024
87	2955.130181
88	2911.125606
89	2872.937053
90	2827.313843
91	2786.843926
92	2746.505651
93	2702.44023
94	2660.568511
95	2622.944528
96	2585.356163
97	2551.316182
98	2509.71312
99	2479.468461
100	2445.051849
101	2412.788945
102	2381.064732
103	2349.165154
104	2317.628788
105	2286.783281
106	2250.331378
107	2220.263095
108	2188.336083
109	2158.428491
110	2133.682269
111	2106.261102
112	2079.175644
113	2051.279283
114	2024.607741
115	1998.999449
116	1976.378949
117	1952.399671
118	1926.976411
119	1902.678501
120	1886.780015
121	1864.330278
122	1845.806097
123	1822.822869
124	1803.467384
125	1780.8612
126	1764.879813
127	1744.276574
128	1725.71389
129	1708.830681
130	1686.863865
131	1659.942512
132	1644.396408
133	1629.994079
134	1615.748985
135	1598.695896
136	1584.051955
137	1566.909743
138	1550.193207
139	1533.489135
140	1518.157075
141	1506.617467
142	1495.968719
143	1477.42147
144	1463.267722
145	1448.038747
146	1435.979159
147	1419.276903
148	1404.209352
149	1388.416966
150	1371.723813
151	1359.090101
152	1347.286434
153	1331.884896
154	1321.534304
155	1311.265896
156	1297.416152
157	1285.645547
158	1271.121846
159	1259.474836
160	1251.830502
161	1241.151537
162	1229.638714
163	1219.152125
164	1209.706011
165	1195.576625
166	1183.103286
167	1173.782617
168	1161.729583
169	1152.459542
170	1143.375596
171	1135.727238
172	1125.896292
173	1112.547002
174	1102.102046
175	1092.599076
176	1085.762199
177	1077.276171
178	1067.081975
179	1057.409072
180	1048.468745
181	1041.117689
182	1031.733951
183	1023.235475
184	1015.691484
185	1007.739101
186	1000.228897
187	993.0354232
188	985.8107651
189	976.8049594
190	967.9545585
191	959.4113891
192	950.4575822
193	943.8507422
194	937.5372089
195	930.6191249
196	925.364709
197	918.48812
198	912.0155911
199	905.4814206
200	897.1447817
201	892.4813104
202	884.9612162
203	878.014775
204	870.9100258
205	863.5602751
206	858.3851854
207	854.0656304
208	849.2519246
209	844.4317695
210	838.5775643
211	831.3645213
212	825.5916337
213	821.3264645
214	815.9841099
215	809.9512095
216	801.7180144
217	797.5179334
218	792.1836201
219	786.4653419
220	782.2088994
221	779.0961917
222	773.7941108
223	770.3290275
224	767.247886
225	762.471431
226	757.3411702
227	752.3698805
228	748.1810949
229	742.3572867
230	737.2828336
231	732.0689458
232	729.0476686
233	723.746415
234	720.5473249
235	716.1870271
236	713.5516449
237	708.7914083
238	703.8191016
239	698.5050485
240	694.7436622
241	692.271841
242	687.6254272
243	683.9656464
244	680.3423772
245	676.888089
246	671.9494385
247	666.6583074
248	660.3405799
249	655.7649963
250	651.266348
251	648.5468833
252	645.6943626
253	642.4601033
254	639.5201323
255	637.7389277
256	635.2909198
257	633.0503969
258	629.0483315
259	625.5357787
260	621.6339105
261	618.6855646
262	616.6758203
263	613.9189757
264	611.7290282
265	607.4459721
266	604.2082987
267	601.8314691
268	599.9026339
269	596.4522514
270	592.4925382
271	589.2851472
272	587.5757062
273	585.4928521
274	583.1046509
275	580.0977862
276	578.0075832
277	575.0136679
278	573.4939429
279	571.8027522
280	567.0358918
281	565.351565
282	563.1671388
283	560.4815294
284	558.7782551
285	555.3715818
286	551.5736519
287	549.0913622
288	545.2792004
289	542.1160545
290	539.7660869
291	536.8861632
292	533.292887
293	529.9347739
294	528.0894895
295	524.643986
296	522.7287754
297	519.9791679
298	517.8695216
299	515.6541169
300	513.6219588
301	510.7060755
302	508.0244981
303	506.3610269
304	504.1130148
305	501.0324655
306	499.4880176
307	496.9152522
308	495.2089419
309	493.0481052
310	490.566434
311	487.9106887
312	485.997053
313	484.318595
314	481.8734027
315	480.009034
316	478.0121127
317	476.0258217
318	474.681961
319	473.0743652
320	471.7950527
321	469.54116
322	467.5855344
323	466.0777064
324	464.290322
325	463.4543863
326	462.6272534
327	460.5483997
328	457.9655584
329	455.5739523
330	453.8850732
331	451.947251
332	449.7260017
333	448.8221473
334	447.9398603
335	447.2023954
336	445.4147839
337	444.2862642
338	443.2433104
339	440.6789397
340	439.4698057
341	437.1885694
342	434.9829488
343	433.418879
344	432.240799
345	430.6668302
346	428.506505
347	427.8062757
348	425.9266317
349	424.8232047
350	423.6376569
351	421.4261461
352	419.4459737
353	418.5405561
354	415.9745481
355	415.4178417
356	414.4501534
357	412.4521937
358	410.7770817
359	409.5076114
360	408.1705441
361	407.6089992
362	406.8058836
363	405.0884465
364	403.5205313
365	402.0702932
366	399.2774849
367	397.5655772
368	395.7355789
369	394.0806388
370	392.2530618
371	391.6555004
372	389.5533213
373	388.4640776
374	386.7719197
375	385.0322309
376	384.0548229
377	383.5200195
378	382.3236512
379	380.4013976
380	378.2184263
381	377.0592349
382	375.5888098
383	374.6310356
384	373.1137878
385	371.6924306
386	370.3285524
387	369.3890936
388	367.3757929
389	365.7463618
390	364.4539341
391	362.5597818
392	361.2696679
393	359.884566
394	358.2794347
395	356.7541809
396	355.9785531
397	354.011738
398	352.870531
399	351.8918726
400	350.1263584
401	348.4568685
402	346.3436368
403	344.7944606
404	344.2928702
405	342.9635636
406	341.5840664
407	340.7948663
408	340.352279
409	339.2923682
410	338.8193573
411	337.3401256
412	336.1984897
413	334.9885738
414	333.3587453
415	331.7574564
416	331.2956257
417	330.0158207
418	329.0446997
419	327.4995847
420	326.602891
421	326.1825719
422	324.5622891
423	323.5408062
424	322.3222694
425	320.8359241
426	319.701794
427	318.6077275
428	317.0494822
429	315.8452098
430	315.464019
431	314.588417
432	313.6092729
433	313.2550878
434	312.431447
435	311.1661743
436	309.7362796
437	308.6581565
438	308.2378457
439	307.0747675
440	305.8461307
441	304.4319602
442	303.732742
443	302.9248647
444	301.56199
445	300.4453911
446	299.8383165
447	298.8121119
448	297.9658123
449	296.8257447
450	295.6005192
451	295.299368
452	293.6167768
453	292.5099941
454	291.5809057
455	290.7758594
456	290.3853389
457	289.5884073
458	288.5514902
459	287.5510044
460	286.6392987
461	285.1672784
462	284.0081376
463	283.2040944
464	282.3279095
465	281.58496
466	280.8544364
467	280.1193707
468	279.3147038
469	278.3325399
470	277.6400265
471	276.745353
472	275.9243604
473	275.1519341
474	274.0994156
475	273.2810882
476	272.9644002
477	272.4118019
478	272.0564609
479	271.3483305
480	270.2151662
481	269.2832902
482	268.4197167
483	267.7067238
484	266.9920102
485	266.6172666
486	265.881523
487	265.3013139
488	264.3019996
489	263.5104397
490	263.2356554
491	262.9109684
492	262.2756746
493	261.7049256
494	261.138335
495	260.5215635
496	259.7725613
497	258.8564916
498	258.5909819
499	257.601094
500	256.8963744
501	256.5342427
502	255.580626
503	254.8175344
504	254.5576057
505	254.2917443
506	253.6221208
507	253.3053227
508	252.737018
509	252.2506995
510	251.3898236
511	250.9116775
512	250.6453469
513	250.0121774
514	249.5376387
515	248.63457
516	248.2440957
517	247.130132
518	246.5059585
519	245.516982
520	244.6267196
521	244.3485738
522	243.5516655
523	242.7965782
524	241.8245381
525	241.3334572
526	240.5907117
527	240.0156787
528	239.7270396
529	239.0454605
530	238.7613641
531	237.7354656
532	237.4945864
533	236.925514
534	236.4829354
535	235.9535458
536	235.3306152
537	234.4767744
538	233.7230849
539	232.9305332
540	232.0756687
541	231.5563126
542	230.4716398
543	230.260558
544	230.038275
545	229.3534553
546	228.748627
547	228.2171428
548	227.7397242
549	227.4986581
550	226.8555657
551	226.3797539
552	225.8206332
553	225.0332562
554	224.3100127
555	223.5905249
556	222.6155672
557	221.6965945
558	221.1858277
559	220.623437
560	219.7880534
561	219.2659891
562	218.6925957
563	218.1651353
564	217.4903054
565	216.3125467
566	215.8124668
567	215.1598309
568	214.5131915
569	213.7751477
570	213.1832836
571	212.7189985
572	212.2979987
573	211.649787
574	211.4560733
575	211.2678849
576	210.80137
577	210.3162904
578	209.7792047
579	208.9344936
580	208.2435627
581	207.6902562
582	206.9573474
583	206.2559022
584	205.82276
585	205.6328535
586	205.2659454
587	205.0737386
588	204.7179058
589	204.1858721
590	203.7642673
591	203.4143561
592	202.8504209
593	202.2597042
594	202.0712547
595	201.6589646
596	200.889364
597	200.6973018
598	200.5041812
599	199.7414664
600	199.3233203
601	198.7522836
602	198.187876
603	197.6845787
604	197.5458989
605	196.9806497
606	196.4658752
607	196.0828384
608	195.9177041
609	195.5282663
610	195.0437727
611	194.5501573
612	193.6862447
613	193.254529
614	192.6123796
615	192.2710545
616	192.0899847
617	191.9365532
618	191.7666537
619	191.3763308
620	191.0537444
621	190.7331306
622	190.3834237
623	190.062535
624	189.5462679
625	188.8147174
626	188.6464108
627	188.1972687
628	187.8820155
629	187.6393485
630	186.9763258
631	186.6910121
632	186.1931362
633	186.0541454
634	185.5501719
635	185.0864345
636	184.6385991
637	184.0771005
638	183.9208395
639	183.6403896
640	183.0608764
641	182.7627501
642	182.5689605
643	182.3881292
644	181.9949649
645	181.5136003
646	181.0046165
647	180.7013646
648	180.231861
649	179.7150099
650	179.1357266
651	178.3818364
652	177.6837954
653	177.0150475
654	176.3360995
655	175.9186532
656	175.4650248
657	174.6639382
658	174.2792833
659	174.1272295
660	173.7480856
661	173.2144816
662	173.0666424
663	172.4714323
664	172.1428144
665	171.8639804
666	171.3237202
667	170.6997211
668	170.5929898
669	169.9101415
670	169.757733
671	169.4668328
672	169.3152228
673	168.938086
674	168.5551153
675	168.3304239
676	167.822273
677	167.6855548
678	167.3064012
679	166.8175877
680	166.4914172
681	166.2708797
682	165.9837382
683	165.3522394
684	164.9920708
685	164.576095
686	164.1910592
687	163.6824811
688	163.2751153
689	163.1464686
690	162.8868026
691	162.6198464
692	162.0480749
693	161.5493825
694	161.4358132
695	161.3288968
696	160.9742629
697	160.6989109
698	160.1647412
699	159.7731922
700	159.1533596
701	158.8230291
702	158.5796851
703	157.9369442
704	157.5056336
705	156.9555117
706	156.4923412
707	156.3703469
708	156.2215619
709	156.0017195
710	155.5517075
711	155.3271438
712	155.0940692
713	154.8955182
714	154.5072673
715	153.8040857
716	153.2986293
717	153.1168479
718	152.6653152
719	152.5689727
720	152.1496538
721	151.8493887
722	151.3802852
723	151.2531321
724	151.0234684
725	150.7450977
726	150.3258587
727	150.0589202
728	149.814639
729	149.3525955
730	149.1966918
731	148.7867747
732	148.5906451
733	148.1977192
734	147.8647427
735	147.5426116
736	147.3127899
737	146.822268
738	146.2838848
739	145.9418642
740	145.6254521
741	145.332946
742	144.8936955
743	144.6102466
744	144.332197
745	143.7847295
746	143.702031
747	143.0951806
748	142.6366988
749	142.4325151
750	142.1633353
751	141.7487365
752	141.4929391
753	141.265099
754	140.7382406
755	140.3285795
756	140.1401757
757	139.8494014
758	139.4737583
759	139.251007
760	138.7344688
761	138.4799757
762	138.2405081
763	137.9809842
764	137.5544861
765	137.3052028
766	136.9031361
767	136.6782601
768	136.5328631
769	136.2618071
770	136.1071354
771	135.7906178
772	135.6894823
773	135.4738848
774	135.3952436
775	135.1989655
776	134.880399
777	134.7153446
778	134.5394138
779	134.3214325
780	133.9781481
781	133.7923895
782	133.2350969
783	133.1657522
784	132.8567448
785	132.3531723
786	132.174738
787	131.9922837
788	131.8627306
789	131.6185903
790	131.3959048
791	131.2780818
792	131.156572
793	130.9496514
794	130.5627201
795	130.263598
796	130.0703153
797	129.7780564
798	129.4943896
799	129.2772313
800	128.9764167
801	128.5848491
802	128.0556044
803	127.7852875
804	127.5028358
805	127.3071293
806	127.0566053
807	126.6034952
808	126.2803413
809	126.0913399
810	125.8293173
811	125.6113959
