iter	Passed	Remaining
0	26	26268
1	45	22544
2	65	21859
3	85	21366
4	106	21228
5	126	21035
6	147	20891
7	167	20777
8	187	20638
9	207	20535
10	227	20437
11	240	19807
12	260	19797
13	281	19813
14	301	19810
15	322	19815
16	336	19444
17	356	19453
18	377	19512
19	398	19527
20	416	19419
21	436	19395
22	458	19462
23	478	19462
24	499	19485
25	520	19491
26	540	19471
27	560	19473
28	581	19484
29	602	19478
30	618	19325
31	637	19288
32	668	19583
33	715	20334
34	761	20987
35	808	21654
36	856	22299
37	897	22723
38	917	22614
39	937	22502
40	957	22406
41	977	22293
42	997	22190
43	1018	22118
44	1037	22018
45	1057	21929
46	1076	21835
47	1096	21740
48	1115	21657
49	1135	21578
50	1155	21502
51	1173	21395
52	1193	21321
53	1213	21261
54	1235	21223
55	1254	21148
56	1272	21058
57	1306	21223
58	1351	21562
59	1396	21873
60	1429	21999
61	1451	21960
62	1473	21917
63	1494	21863
64	1515	21801
65	1535	21732
66	1555	21664
67	1575	21591
68	1595	21532
69	1614	21453
70	1628	21311
71	1648	21241
72	1665	21151
73	1685	21091
74	1699	20959
75	1718	20894
76	1736	20820
77	1756	20760
78	1775	20701
79	1796	20660
80	1816	20613
81	1837	20569
82	1857	20517
83	1876	20460
84	1895	20401
85	1914	20347
86	1931	20274
87	1950	20216
88	1969	20163
89	1988	20110
90	2008	20060
91	2027	20011
92	2069	20187
93	2097	20212
94	2116	20163
95	2136	20122
96	2157	20082
97	2177	20038
98	2196	19994
99	2216	19945
100	2235	19900
101	2255	19856
102	2275	19816
103	2295	19777
104	2314	19729
105	2333	19679
106	2352	19633
107	2371	19587
108	2391	19546
109	2410	19505
110	2431	19476
111	2451	19436
112	2465	19352
113	2484	19312
114	2496	19213
115	2516	19179
116	2536	19143
117	2556	19108
118	2576	19074
119	2619	19206
120	2642	19194
121	2661	19151
122	2680	19111
123	2700	19075
124	2719	19039
125	2739	19002
126	2758	18960
127	2779	18937
128	2800	18908
129	2820	18875
130	2839	18839
131	2859	18805
132	2878	18765
133	2898	18731
134	2917	18696
135	2937	18663
136	2960	18649
137	2992	18691
138	3038	18818
139	3082	18934
140	3101	18893
141	3120	18854
142	3140	18819
143	3160	18789
144	3181	18757
145	3213	18799
146	3260	18918
147	3305	19027
148	3342	19088
149	3360	19045
150	3379	19003
151	3399	18962
152	3418	18925
153	3439	18897
154	3460	18863
155	3479	18826
156	3499	18790
157	3518	18752
158	3539	18720
159	3558	18684
160	3578	18648
161	3598	18612
162	3617	18576
163	3637	18542
164	3657	18508
165	3676	18473
166	3697	18441
167	3716	18406
168	3735	18369
169	3756	18338
170	3775	18302
171	3794	18268
172	3829	18305
173	3862	18334
174	3881	18297
175	3900	18263
176	3919	18226
177	3939	18190
178	3958	18156
179	3978	18123
180	3997	18090
181	4018	18060
182	4037	18025
183	4057	17993
184	4076	17960
185	4096	17927
186	4115	17891
187	4134	17857
188	4155	17829
189	4174	17794
190	4193	17763
191	4213	17731
192	4233	17701
193	4253	17670
194	4273	17643
195	4293	17610
196	4312	17580
197	4332	17550
198	4374	17608
199	4407	17630
200	4429	17606
201	4454	17597
202	4478	17581
203	4499	17556
204	4521	17535
205	4543	17510
206	4564	17485
207	4583	17453
208	4603	17423
209	4624	17395
210	4646	17373
211	4667	17349
212	4690	17330
213	4713	17313
214	4736	17294
215	4758	17272
216	4780	17249
217	4803	17231
218	4822	17198
219	4841	17166
220	4860	17134
221	4880	17104
222	4900	17074
223	4919	17041
224	4938	17011
225	4958	16980
226	4977	16950
227	4996	16919
228	5016	16889
229	5034	16855
230	5053	16824
231	5073	16793
232	5091	16759
233	5110	16729
234	5129	16699
235	5149	16670
236	5167	16637
237	5187	16607
238	5207	16579
239	5226	16549
240	5244	16517
241	5263	16485
242	5282	16456
243	5301	16425
244	5320	16395
245	5338	16364
